# Добавить сюда своих вопросов. Эту строку надо пропустить при настройке CsvToBean (withSkipLines)
Is there life on Mars?;Science doesn't know this yet%true|Certainly. The red UFO is from Mars. And green is from Venus%false|Absolutely not%false
How should resources be loaded form jar in Java?;ClassLoader#geResourceAsStream or ClassPathResource#getInputStream%true|ClassLoader#geResource#getFile + FileReader%false|Wingardium Leviosa%false
Which option is a good way to handle the exception?;@SneakyThrow%false|e.printStackTrace()%false|Rethrow with wrapping in business exception (for example, QuestionReadException)%true|Ignoring exception%false
How to skip comment lines when parsing CSV with OpenCSV?;Use CommentSkipReader with custom BufferedReader that filters lines starting with '#'%true|Use @CsvComment annotation on entity class%false|Call parser.ignoreComments(true) method%false|Comments are skipped automatically in OpenCSV%false
What is the correct way to configure OpenCSV to handle quotes in fields?;Use CSVParserBuilder with setQuoteChar and setEscapeChar%true|Use @CsvQuote annotation on each field%false|Configure in application.properties: csv.quotes.enabled=true%false|Quotes are handled automatically, no configuration needed%false
Which method should be used for reading large CSV files efficiently?;Use CSVReader with readNext() in while loop%true|Use readAll() to load entire file into memory%false|Convert CSV to JSON first, then parse%false|Use Java Stream API with CSVReader.lines()%true
How to map CSV columns to Java object fields with different names?;Use @CsvBindByName annotation with column name%true|Field names must exactly match CSV headers%false|Use @CsvCustomBindByName with custom mapper%true|Implement CsvMapper interface with manual mapping%false
Which approach is best for handling CSV files with inconsistent column counts?;Use setThrowExceptions(false) and handle incomplete data manually%true|Stop parsing when column count mismatch occurs%false|Use @CsvIgnoreExtraColumns to ignore extra columns%true|Automatically pad missing columns with empty values%false
How to parse CSV files with custom separators (not comma)?;Use CSVParserBuilder with setSeparator() method%true|Modify CSV file to use standard comma separator%false|Use @CsvSeparator annotation on class%false|OpenCSV only supports comma separators%false
What is the recommended way to handle encoding issues in CSV files?;Specify charset when creating FileReader: new InputStreamReader(file, StandardCharsets.UTF_8)%true|Use @CsvEncoding annotation on class%false|OpenCSV automatically detects encoding%false|Convert file to ASCII before parsing%false
How to skip header row when reading CSV?;Use CSVReaderBuilder with setSkipLines(1)%true|Use @CsvSkipHeader annotation on class%false|Manually read and discard first line%true|Header is always skipped by default in OpenCSV%false
Which library is better for very large CSV files?;OpenCSV with streaming approach%true|Apache Commons CSV for better performance%false|Jackson CSV for JSON-like handling%false|Java Scanner class for maximum control%false
How to write CSV files with OpenCSV?;Use CSVWriter with writeNext() method%true|Use ObjectMapper to convert objects to CSV%false|Use @CsvExport annotation on entity class%false|OpenCSV can only read, not write CSV files%false
